record_id,vessel_name,vessel_type,dwt,voyage_group,voyage_leg,condition,departure_date,arrival_date,origin_port,destination_port,reported_distance_nm,reported_speed_knots,calendar_elapsed_days,implied_sea_days_from_reported_distance_speed,reported_cargo_tonnes,reported_pair_hfo_tonnes,reported_pair_do_tonnes,reported_pair_total_fuel_tonnes,reported_pair_distance_nm,fuel_scope,model_origin_port,model_destination_port,actual_freight_rate_per_tonne,actual_port_costs,actual_voyage_profit,actual_tce_per_day,route_source_title,route_source_url,fuel_source_title,fuel_source_url,source_access,data_quality_note
NSUJ-10A,M/V NSU JUSTICE,Bulk carrier,250000,10,10A,Ballast,2014-06-29,2014-08-10,"Nagoya, Japan","Ponta da Madeira, Brazil",12309,13.25,42.0,38.708,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-10B,M/V NSU JUSTICE,Bulk carrier,250000,10,10B,Cargo,2014-08-13,2014-10-12,"Ponta da Madeira, Brazil","Nagoya, Japan",12850,12.43,60.0,43.075,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-11A,M/V NSU JUSTICE,Bulk carrier,250000,11,11A,Ballast,2014-10-20,2014-11-24,"Nagoya, Japan","Ponta da Madeira, Brazil",12225,14.8,35.0,34.417,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-11B,M/V NSU JUSTICE,Bulk carrier,250000,11,11B,Cargo,2014-11-26,2015-01-22,"Ponta da Madeira, Brazil","Kisarazu, Japan",12505,13.03,57.0,39.988,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-12A,M/V NSU JUSTICE,Bulk carrier,250000,12,12A,Ballast,2015-01-25,2015-02-04,"Kisarazu, Japan","Port Walcott, Australia",3545,15.0,10.0,9.847,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-12B,M/V NSU JUSTICE,Bulk carrier,250000,12,12B,Cargo,2015-02-22,2015-03-22,"Port Walcott, Australia","Nagoya, Japan",3675,14.35,28.0,10.671,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-13A,M/V NSU JUSTICE,Bulk carrier,250000,13,13A,Ballast,2015-03-25,2015-04-30,"Nagoya, Japan","Ponta da Madeira, Brazil",12187,14.7,36.0,34.544,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-13B,M/V NSU JUSTICE,Bulk carrier,250000,13,13B,Cargo,2015-05-07,2015-06-24,"Ponta da Madeira, Brazil","Nagoya, Japan",12605,13.83,48.0,37.976,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-14A,M/V NSU JUSTICE,Bulk carrier,250000,14,14A,Ballast,2015-06-29,2015-08-05,"Nagoya, Japan","Ponta da Madeira, Brazil",12178,13.95,37.0,36.374,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-14B,M/V NSU JUSTICE,Bulk carrier,250000,14,14B,Cargo,2015-08-10,2015-09-21,"Ponta da Madeira, Brazil","Kisarazu, Japan",12624,13.3,42.0,39.549,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
